cluster_id,media_type,media_subtypes,language,content,content_normalized,length,number_of_authors,years_recycled,engagement_counts,qwen_family,qwen_subclass,gpt5mini_family,gpt5mini_subclass,sonnet_family,sonnet_subclass,plurality_family,plurality_subclass
17604801352192763008,media,photo,ar,The Place Beyond the Pines https://t.co/fEp3SnzI0d,the place beyond the pines,50,12,"[2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021]","[2255, 229, 203, 139, 3398, 284, 125, 413, 94, 5837, 172, 409]",expression,everyday_reflection,assertion,fact_trivia,assertion,fact_trivia,assertion,fact_trivia
2277221142833314935,text,,ar,"your body, your rules.",your body your rules,22,14,"[2014, 2015, 2017, 2018, 2019, 2020]","[159, 902, 1201, 51, 63, 85, 178, 165, 3230, 80, 348, 1000, 60000, 225, 62]",expression,aphorism,expression,aphorism,expression,aphorism,expression,aphorism
12792927302974494287,text,,ar,"❤✰‿✰❤❤✰‿✰*❤   ↓  ↓  ↓  ↓  ↓  ↓ 💠تابعني ↔️ اتابعك  Follow Me = Follow Back  تبادل رتويت 5/5    ↑  ↑  ↑  ↑  ↑  ↑ ❤✰‿✰❤❤✰‿✰*❤""""",تابعني اتابعك follow me follow back تبادل رتويت 5 5,124,13,"[2014, 2015]","[58, 59, 107, 83, 149, 108, 71, 107, 73, 140, 53, 54, 98, 94, 84, 57, 157, 110, 52, 56, 78, 53, 58, 130, 50, 81, 61, 120, 56, 84, 89, 125, 61, 477, 59, 64, 62]",solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation
7791074950845862196,media,video,ar,"'You are most welcome,"" @KagutaMuseveni.  📸📸@AbuMwesigwa https://t.co/WWkSrXFj8W",you are most welcome,80,20,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]","[121, 100, 76, 53, 82, 173, 85, 192, 480, 170, 93, 72, 244, 99, 6817, 152, 1653, 61, 223, 317, 3180, 260360, 642, 64, 130]",assertion,commentary_news,borrowed,secular_quote,borrowed,secular_quote,borrowed,secular_quote
14506014867009695824,media,photo|photo|photo|photo,ar,"Three Billboards Outside Ebbing, Missouri (2017) https://t.co/rG5ykcJJil",three billboards outside ebbing missouri 2017,72,17,"[2017, 2018, 2019, 2020, 2021, 2022]","[121, 201, 1037, 1017, 473, 224, 420, 581, 796, 62, 272, 230, 159, 166, 66, 693, 107, 562, 239, 576, 650, 1197, 438, 638, 351]",assertion,fact_trivia,assertion,fact_trivia,assertion,fact_trivia,assertion,fact_trivia
13802939248059983226,text,,ar,الصحة / health Fever .. / حمى💊 فيڤر Sick.. / مريض😖 سيكْ Wound../ جرح😢  ووْندْ Vaccine../ لقاح او تطعيم💉 ڤاكْسينْ Earache .. / ألم الأذن 👂 إيرْ آيْك Stomach ache../ ألم المعدة 😞 سْتومَك آيك Cold../ زكام😷 كُولدْ Headache.. / صداع 💆 هادْ آيك,الصحة health fever حمى فيڤر sick مريض سيك wound جرح وو ند vaccine لقاح او تطعيم ڤاك سين earache ألم الأذن إير آي ك stomach ache ألم المعدة س توم ك آيك cold زكام ك ولد headache صداع هاد آيك,238,11,"[2018, 2019, 2020]","[3117, 103, 188, 69, 112, 81, 76, 93, 771, 432, 585, 390, 590, 291, 66]",assertion,instructional_listicle,assertion,instructional_listicle,assertion,instructional_listicle,assertion,instructional_listicle
5792889518828289885,media,animated_gif,ar,): #arasbulutiynemli #cukur https://t.co/1B5GqvK2O7,arasbulutiynemli cukur,51,12,"[2019, 2020, 2021, 2022]","[293, 410, 100, 103, 518, 954, 456, 456, 103, 403, 384, 269, 431, 280, 95, 168, 138, 208, 63, 90, 153, 74, 97, 119, 315]",non_content,degenerate_filler,expression,everyday_reflection,non_content,degenerate_filler,non_content,degenerate_filler
9858588304908495294,text,,ar,هتكتسب نُضج جديد لما تبطل تحكى مشاكلك لحد، مش لأن who cares بس من باب Nobody Can help you,هتكتسب ن ضج جديد لما تبطل تحكى مشاكلك لحد مش لأن who cares بس من باب nobody can help you,89,10,"[2020, 2021, 2022]","[4923, 67, 75, 156, 2243, 262, 51, 879, 1692, 268]",expression,aphorism,expression,aphorism,expression,everyday_reflection,expression,aphorism
14291268045374309038,text,,ar,"فيه جملة في مسلسل reasons why 13 بتقول "" I can love you and still let you go "" يعني أنا ممكن أحبك و أسمحلك تمشي واخسرك..كوني اني بحبك مش معناه اني استحملك وانت بتأذيني وبتعمل حجات تزعلني ، اه ممكن أفضل أحبك بيني وبين نفسي لكن لو لقيتك بتأذيني هخسرك و هدوس على قلبي عادي جداً.",فيه جملة في مسلسل reasons why 13 بتقول i can love you and still let you go يعني أنا ممكن أحبك و أسمحلك تمشي واخسرك كوني اني بحبك مش معناه اني استحملك وانت بتأذيني وبتعمل حجات تزعلني اه ممكن أفضل أحبك بيني وبين نفسي لكن لو لقيتك بتأذيني هخسرك و هدوس على قلبي عادي جدا,275,16,"[2020, 2021]","[6223, 1653, 337, 3119, 56, 273, 476, 1005, 775, 4313, 220, 2904, 568, 708, 383, 1353, 811, 97]",expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection
12773284115450429410,text,,ar,We vote #BTSARMY for #BestFanArmy at the 2021 #iHeartAwards @BTS_twt,we vote btsarmy for bestfanarmy at the 2021 iheartawards,68,16,"[2021, 2022]","[56, 142, 195, 1785, 225, 57, 179, 58, 699, 100, 915, 929, 492, 385, 472, 470, 241, 471, 332, 60, 258, 53, 446, 50]",solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation
12237861086344077692,text,,ar,nobody too busy you just ain’t a priority,nobody too busy you just ain t a priority,41,14,"[2021, 2022]","[87, 76, 568, 256, 3733, 66, 144, 2411, 312, 1256, 230, 2337, 155, 4636, 229, 34451]",expression,aphorism,expression,aphorism,expression,aphorism,expression,aphorism
11316576191957295453,text,,ar,حاجه بايخه اوي اما تبقا متماسك وفجأه تنهار م غير سبب وتلاقي دماغك عملت select all لكل احزانك و كل حاجه حصلتلك وتلاقى جلد ذات مع overthinking وترجع للصفر تانى.,حاجه بايخه اوي اما تبقا متماسك وفجأه تنهار م غير سبب وتلاقي دماغك عملت select all لكل احزانك و كل حاجه حصلتلك وتلاقى جلد ذات مع overthinking وترجع للصفر تانى,158,12,[2022],"[6994, 429, 3486, 98, 223, 106, 2016, 582, 901, 371, 219, 174, 517, 433]",expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection
1413667960801496955,media,photo|photo,ar,Passenger seat princess 👑 https://t.co/CeCBeYvhBM,passenger seat princess,49,10,[2022],"[1008, 4927, 1837, 56, 6165, 20718, 2264, 55788, 69, 5566]",expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection
15940897356702513506,media,photo|photo,ar,Muchas gracias por todo 🔴⚪️ https://t.co/WGGaLMYgtc,muchas gracias por todo,51,52,"[2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]","[119, 428, 269, 722, 75, 370, 1955, 925, 78, 1010, 847, 55, 1442, 87, 69, 176, 278, 419, 4450, 288, 235, 921, 117, 542, 5234, 4097, 138, 319, 58, 345, 109, 2487, 7541, 568, 293, 13217, 682, 62, 22838, 727, 389, 156, 944, 4234, 980, 969, 205, 288, 812, 2319, 19709, 233, 10231, 64]",expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection
6027957207835001550,media,photo,ar,@IskandarBnt @LeMagnif 1 2 3 viva l’algerie https://t.co/xWM0LbOl3r,1 2 3 viva l algerie,67,22,"[2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022]","[142, 100, 215, 103, 1078, 1860, 63, 362, 59, 122, 693, 3454, 1270, 1473, 94, 620, 481, 631, 1331, 33763, 391, 187, 1548]",expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection,expression,everyday_reflection
2743794458714417747,text,,ar,@O_0T0_O  👆🌷🌷👆 🌷🇫حساب 🌷_🇴مميز 🌷___🇱رائع 🌷_____🇱يستحق 🌷_______🇴المتابعة 🌷_________🇼رتويت #حساب_يستحق_المتابعة””,حساب _ مميز ___ رائع _____ يستحق _______ المتابعة _________ رتويت حساب_يستحق_المتابعة,110,24,"[2014, 2015]","[551, 120, 541, 453, 176, 146, 138, 397, 84, 140, 275, 310, 113, 645, 474, 120, 103, 70, 142, 248, 175, 635, 374, 383, 512, 1093, 1078, 2196, 941, 379, 140, 95]",solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation
18192850264949608400,text,,ar,"Before you get attached to anyone, be prepared if they leave. :)",before you get attached to anyone be prepared if they leave,64,24,"[2015, 2016, 2017, 2018, 2019, 2021, 2022]","[170, 217, 113, 184, 438, 376, 547, 1341, 1448, 120, 299, 98, 1270, 411, 560, 286, 4812, 226, 554, 115, 518, 17950, 110, 124, 1856, 722, 465]",expression,aphorism,expression,aphorism,expression,aphorism,expression,aphorism
2207394793906831669,text,,ar,#PalestiniansLivesMatter,palestinianslivesmatter,24,28,"[2020, 2021, 2022]","[51634, 1545, 1819, 204, 1216, 645, 3559, 2323, 82, 68, 674, 413, 168, 141, 180, 161, 574, 133, 1994, 447, 1144, 91, 52, 181, 87, 164, 1269, 78, 6226, 1364, 102, 336, 978, 60, 2118]",assertion,commentary_news,assertion,commentary_news,assertion,commentary_news,assertion,commentary_news
3821443702641193760,text,,ar,"ﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺ . (Like, Reply, RT and Quote)",ﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺﷴﷺ like reply rt and quote,154,40,"[2020, 2021]","[289, 255, 255, 6406, 54, 180, 60, 72, 312, 89, 335, 556, 82, 2678, 382, 300, 99, 57, 85, 129, 411, 190, 76, 123, 152, 161, 306, 274, 129, 254, 638, 1713, 309, 197, 182, 120, 256, 224, 554, 89, 233, 526, 637, 212, 292, 117, 323, 179, 187, 409, 565, 503, 560, 288, 79, 442, 175, 137, 177, 382, 131, 232, 442, 228, 404, 207, 382, 452, 414, 932, 58, 299, 105, 359, 53, 530, 130, 543, 216, 6415, 71, 79, 156, 222, 1082, 436, 51, 136, 373, 88, 191, 329, 287, 231, 427, 280, 90, 216, 214, 329, 277, 371, 328, 204, 210, 55, 430, 283, 335, 396, 611, 318, 431, 415, 171, 125, 264, 411, 189, 68, 1678, 687, 257, 207, 669, 278, 256, 69, 189, 65, 402, 469, 85, 145, 56, 278, 272, 659, 5232, 389, 65, 191, 83, 213, 165, 179, 106, 230, 233, 72, 118, 777, 168, 244, 125, 55]",non_content,degenerate_filler,solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation
11817771772504553002,text,,ar,للمتصلين حاليآ   1⃣ ♻ #تبادل_رتويت  2⃣ اول 5/5 او 10/10 او 15/15 او 20/20🌹 من المفضله  3⃣ عطني تم✔ حقك محفوظ💌لو تاخرت🕔  4⃣👌 #تابعني_اتابعك❗,للمتصلين حاليآ 1 تبادل_رتويت 2 اول 5 5 او 10 10 او 15 15 او 20 20 من المفضله 3 عطني تم حقك محفوظ لو تاخرت 4 تابعني_اتابعك,139,3,"[2015, 2016]","[52, 161, 65]",solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation,solicitation,engagement_solicitation
16463492639944680552,text,,ar,دائما........ أولويز......Always أبدا......... نيفر........Never غالبا......... أفن....... Often أحيانا....... سم تايمز....... Sometimes نادرا......... سيلدوم...... Seldom قريبا........... سون......... Soon أخيرا..... آت لاست..... At last متأخرا...... ليت.............. Late,دائما أولويز always أبدا نيفر never غالبا أفن often أحيانا سم تايمز sometimes نادرا سيلدوم seldom قريبا سون soon أخيرا آت لاست at last متأخرا ليت late,274,3,"[2020, 2021]","[1007, 756, 630, 243, 604, 555, 797, 115, 645, 136]",assertion,instructional_listicle,assertion,instructional_listicle,assertion,instructional_listicle,assertion,instructional_listicle
15865051130623461779,text,,ar,"Penuhkan TL korang dengan --  ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ ♥ﷲ""",penuhkan tl korang dengan ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ ﷲ,135,5,"[2013, 2014]","[4528, 378, 170, 57, 248, 257]",non_content,degenerate_filler,solicitation,engagement_solicitation,non_content,degenerate_filler,non_content,degenerate_filler
18089481220130125094,media,photo,ar,زيادة متابعين انستقرام حقيقي خليجي خلال دعم الحساب 💥 عرض اليوم 💥 حقيقي 100%  2000 متابع :  160ريال  3000 متابع : 230 ريال  5000 متابع :  390ريال 7000 متابع :  499 ريال 10.000 متابع :  744 ريال  15.000 متابع : 1180 ريال   للطلب واتساب او إتصال : 0597988788 https://t.co/xdS04hwDoH,زيادة متابعين انستقرام حقيقي خليجي خلال دعم الحساب عرض اليوم حقيقي 100 2000 متابع 160ريال 3000 متابع 230 ريال 5000 متابع 390ريال 7000 متابع 499 ريال 10 000 متابع 744 ريال 15 000 متابع 1180 ريال للطلب واتساب او إتصال 0597988788,279,5,"[2018, 2019, 2020, 2021, 2022]","[102, 138, 200, 116, 180, 208, 205, 204, 194, 172, 130, 181, 88, 127, 112, 189, 182, 155, 155, 136, 166, 112, 143, 160, 118, 129, 176, 158, 86, 169, 169, 179, 200, 153, 257, 164, 128, 141, 100, 207, 108, 181, 143, 78, 198, 108, 75, 189, 177, 63, 115, 119, 104, 205, 198, 155, 94, 205, 172, 75, 93, 214, 144, 171, 200, 134, 153, 161, 144, 174, 83, 139, 207, 107, 165, 196, 232, 197, 202, 189, 210, 144, 234, 150, 173, 142, 138, 165, 186, 53, 75, 200, 158, 150, 126, 218, 178, 103, 159, 147, 179, 128, 205, 161, 174, 200, 190, 159, 173, 175, 121, 115, 178, 210, 146, 200, 205, 208, 210, 147, 152, 163, 206, 198, 132, 203, 179, 89, 195, 167, 201, 155, 174, 148, 122, 198, 227, 102, 193, 102, 209, 183, 148, 166, 179, 86, 122, 165, 127, 178, 162, 63, 193, 165, 177, 184, 97, 112, 193, 70, 176, 197, 134, 150, 208, 176, 180, 87, 161, 169, 159, 232, 181, 137, 175, 170, 216, 152, 128, 205, 76, 173, 61, 78, 180, 59, 212, 207, 149, 71, 188, 180, 93, 215, 215, 219, 183, 150, 131, 138, 213, 180, 193, 136, 197, 212, 158, 180, 206, 116, 218, 237, 62, 172, 136, 173, 74, 58, 164, 131, 84, 203, 232, 253, 180, 138, 255, 145, 192, 107, 142, 106, 158, 98, 168, 133, 125, 129, 160, 72, 122, 152, 199, 179, 163, 94, 103, 99, 193, 102, 66, 145, 125, 188, 211, 165, 182, 158, 199, 84, 176, 183, 202, 182, 174, 134, 192, 193, 82, 172, 76, 196, 164, 126, 196, 151, 164, 170, 135, 130, 138, 76, 205, 209, 123, 161, 261, 86, 84, 60, 203, 174, 183, 174, 103, 202, 114, 200, 168, 110, 101, 102, 103, 64, 189, 182, 134, 201, 86, 169, 182, 234, 227, 225, 214, 198, 240, 212, 176, 217, 224, 166, 98, 185, 126, 144, 219, 232, 131, 230, 172, 177, 189, 217, 165, 62, 64, 180, 117, 113, 120, 151, 131, 52, 151, 184, 217, 131, 243, 79, 190, 215, 202, 104, 235, 243, 204, 109, 157, 195, 221, 132, 110, 144, 257, 127, 176, 133, 121, 61, 149, 237, 143, 256, 224, 63, 172, 294, 287, 265, 59, 288, 297, 192, 262, 210, 75, 305, 103, 261, 303, 221, 246, 217, 247, 108, 137, 178, 420, 183, 185, 169, 235, 272, 228, 183, 190, 129, 206, 54, 118, 233, 118, 106, 114, 217, 156, 180, 136, 181, 115, 229, 157, 142, 251, 102, 193, 167, 105, 174, 214, 186, 155, 176, 154, 188, 181]",solicitation,commercial_solicitation,solicitation,commercial_solicitation,solicitation,commercial_solicitation,solicitation,commercial_solicitation
